date,reservoir,scene_id,cloud_cover_scene,cloud_cover_aoi,water_area_km2,change_km2,change_percent,reservoir_area_km2,total_water_area_km2,water_clusters,quality_score,detection_method
2026-06-10,bhakra,S2B_MSIL2A_20260610T053639_N0512_R005_T43SFR_20260610T091702,3.81,0.05,,0.0,0.0,0.0466,0.0918,125.0,,
2026-06-15,bhakra,S2C_MSIL2A_20260615T053641_N0512_R005_T43SFR_20260615T102024,28.28,0.87,,1.1726,2516.3090128755366,1.2192,2.3319,3934.0,99.4,MNDWI>-0.100(Otsu) | NDWI>0.050(fixed)
2026-06-15,pong,S2C_MSIL2A_20260615T053641_N0512_R005_T43SFR_20260615T102024,28.28,4.81,,0.0,0.0,32.3404,51.8662,5720.0,100.0,MNDWI>-0.100(Otsu) | NDWI>-0.050(Otsu)
2026-06-15,thein,S2C_MSIL2A_20260615T053641_N0512_R005_T43SER_20260615T102024,17.71,48.84,,0.0,0.0,22.4702,30.4645,1228.0,70.8,MNDWI>-0.100(Otsu) | NDWI>-0.050(Otsu)
2026-06-17,bhakra,S2B_MSIL2A_20260617T052649_N0512_R105_T43SFR_20260617T104156,21.96,0.53,,-0.04160000000000008,-3.4120734908136545,1.1776,1.9547,2801.0,99.6,MNDWI>-0.100(Otsu) | NDWI>0.050(fixed)
